Column1,Column2
#separator:tab,
#html:false,
"ab, abs, a + Fall?",
ab urbe,
a tertia hora,
a Gallis vinci,
servus ab epistulis,
abies ,
abolere Stf,
absorbere Stf,
absurdus,
ac =?,
acanthus,
accersere =?,
accipiter,
"acer, cris, cre ",
acerbus ,
acerbitas,
acere,
acetum ,
acidus,
acervus,
acies  (oculorum/hostium),
aciem laedere,
in acie vinci,
acuere Stf ,
acutus (<> acidus),
praeacutus,
acumen,
ad  ,
ad urbem esse/venire,
ad multam noctem,
ad trecentos,
ad usum,
ad praeceptum,
adamas,
adamantinus,
adolere  Stf (odores/flammis penates),
adulari (2/),
adulatio,
adulescens ,
adulescentulus,
adulescentia,
"adulter, era, erum ",
adulterium,
adytum ,
aedes 1. Sg./2. Pl.,
aedilis,
aedilitas,
aedificium,
aedificare,
inaedificare ,
"aeger, gra, grum",
aegre (Adv.),
aegrimonia,
aegritudo ,
aegrotus,
aegrotare,
aegrotatio,
aegis,
aemulus  (2/),
aemulus meus,
aemulari (2/),
aemulatio ,
aequus (5) (campus/acies/tempus/pars/condicio),
aequitas  (animi/legis),
aequalis (4) (locus/pars/Caesari/meus),
aequare (3) (locum/aciem/sortes),
aequare tecta solo,
aequare Gallos virtute,
aequabilis,
aequabilitas,
adaequare ,
coaequare,
aequor ,
aequoreus,
iniquus ,
iniquitas ,
aer,
aerius,
aerumna,
aes,
aera (=Pl. zu aes),
aera emere,
aereus,
aerarium,
aeratus,
aerugo,
aenus,
aenum,
aeneus,
aestas,
aestivus,
aestiva,
aestimare ,
aestimatio,
existimare,
existimatio,
aestus ,
aestuosus,
aestuare ,
aetas ,
aeternus,
aeternitas,
aether,
aetherius,
aevum ,
ager (2: Sg/Pl),
agellus,
agrestis (2: Adj./Subst.),
agrarius,
lex agraria,
agricola,
agricultura,
peragrare,
peregre (Adv.),
peregrinus,
agere Stf.,
agere equum/praedam,
agere causam,
agere temere/de pace,
agere aetatem,
agere curam,
agere primas partes,
acta ,
actor (pecoris/rei/fabulae/causae) (4),
"actio (rei, orationis/causae) (3)",
actiones consulis,
actus,
actus pecoris/fabulae,
primus actus fabulae,
actuarius,
